Province ID,Province Name,Valid Province,Base Tax,Base Production,Base Manpower,Trade Good,Latent Coal,Starting Fort,Estuary,Center of Trade,Great Projects,Continent,Total Score
1173,Damaraland,no,,,,,,,,,,africa,#N/A
1250,Vanern,no,,,,,,,,,,Unknown,#N/A
1251,Vattern,no,,,,,,,,,,Unknown,#N/A
1252,Gulf of Bothnia,no,,,,,,,,,,Unknown,#N/A
1253,Alands Hav,no,,,,,,,,,,Unknown,#N/A
1254,Gulf of Finland,no,,,,,,,,,,Unknown,#N/A
1255,Western Baltic Sea,no,,,,,,,,,,Unknown,#N/A
1256,Gulf of Riga,no,,,,,,,,,,Unknown,#N/A
1257,Southern Baltic Sea,no,,,,,,,,,,Unknown,#N/A
1258,Oresund,no,,,,,,,,,,Unknown,#N/A
1259,Kattegat,no,,,,,,,,,,Unknown,#N/A
1260,Peipsi Jarv,no,,,,,,,,,,Unknown,#N/A
1261,Ladoga,no,,,,,,,,,,Unknown,#N/A
1262,Onega,no,,,,,,,,,,Unknown,#N/A
1263,White Sea,no,,,,,,,,,,Unknown,#N/A
1264,Lofoten Sea,no,,,,,,,,,,Unknown,#N/A
1265,Northern Norwegian Sea,no,,,,,,,,,,Unknown,#N/A
1266,Southern Norwegian Sea,no,,,,,,,,,,Unknown,#N/A
1267,Skagerrack,no,,,,,,,,,,Unknown,#N/A
1268,Helgoland Bight,no,,,,,,,,,,Unknown,#N/A
1269,Coast of Holland,no,,,,,,,,,,Unknown,#N/A
1270,Dogger Bank,no,,,,,,,,,,Unknown,#N/A
1271,Straits of Dover,no,,,,,,,,,,Unknown,#N/A
1272,The Channel,no,,,,,,,,,,Unknown,#N/A
1274,Coast of Britanny,no,,,,,,,,,,Unknown,#N/A
1275,Quiberon Bay,no,,,,,,,,,,Unknown,#N/A
1276,Cote D'Argent,no,,,,,,,,,,europe,#N/A
1277,Bay of Biscay,no,,,,,,,,,,Unknown,#N/A
1278,Cantabrian Sea,no,,,,,,,,,,Unknown,#N/A
1279,Tyne,no,,,,,,,,,,Unknown,#N/A
1280,Firth of Forth,no,,,,,,,,,,Unknown,#N/A
1281,The North Sea,no,,,,,,,,,,europe,#N/A
1282,Moray Firth,no,,,,,,,,,,Unknown,#N/A
1283,North Channel,no,,,,,,,,,,Unknown,#N/A
1284,Irish Sea,no,,,,,,,,,,Unknown,#N/A
1285,St. George's Channel,no,,,,,,,,,,Unknown,#N/A
1286,Donegal Bay,no,,,,,,,,,,Unknown,#N/A
1287,Dingle Bay,no,,,,,,,,,,Unknown,#N/A
1288,Celtic Sea,no,,,,,,,,,,Unknown,#N/A
1289,Western Approaches,no,,,,,,,,,,Unknown,#N/A
1290,Finisterre Bay,no,,,,,,,,,,Unknown,#N/A
1291,Lusitanian Sea,no,,,,,,,,,,Unknown,#N/A
1292,Gulf of Cadiz,no,,,,,,,,,,Unknown,#N/A
1293,Straits of Gibraltar,no,,,,,,,,,,europe,#N/A
1294,Gulf of Almeira,no,,,,,,,,,,Unknown,#N/A
1295,Gulf of Valencia,no,,,,,,,,,,Unknown,#N/A
1296,Gulf of Lion,no,,,,,,,,,,Unknown,#N/A
1297,Cote D'Azur,no,,,,,,,,,,europe,#N/A
1298,Ligurian Sea,no,,,,,,,,,,Unknown,#N/A
1299,Coast of the Faroes,no,,,,,,,,,,Unknown,#N/A
1300,Western Mediterranean,no,,,,,,,,,,Unknown,#N/A
1301,Barbary Coast,no,,,,,,,,,,Unknown,#N/A
1302,Cape Bon,no,,,,,,,,,,Unknown,#N/A
1303,Tyrrenean Sea,no,,,,,,,,,,Unknown,#N/A
