1,Stockholm,13,Swedish,Catholic,Grain,Grassland,no,no,2,0
2,Linkoping,6,Swedish,Catholic,Grain,Forest,no,no,0,0
3,Kalmar,5,Swedish,Catholic,Naval Supplies,Woods,yes,no,0,0
4,Vasteras,7,Swedish,Catholic,Iron,Forest,no,no,0,0
5,Karlstad,3,Swedish,Catholic,Iron,Forest,no,no,0,0
6,Lund,20,Danish,Catholic,Grain,Farmlands,yes,no,0,0
7,Skara,6,Swedish,Catholic,Grain,Grassland,no,no,0,0
8,Mora,5,Swedish,Catholic,Copper,Forest,no,no,0,1
9,Gavle,5,Swedish,Catholic,Fish,Forest,no,no,0,0
10,Froson,3,Norwegian,Catholic,Fur,Forest,no,no,0,0
11,Umea,3,Swedish,Catholic,Fur,Forest,no,no,0,0
12,Kobenhavn,20,Danish,Catholic,Fish,Farmlands,yes,no,2,1
13,Slesvig,11,Danish,Catholic,Livestock,Grassland,no,no,0,0
14,Odense,14,Danish,Catholic,Fish,Farmlands,no,no,0,0
15,Ribe,5,Danish,Catholic,Livestock,Grassland,no,no,0,0
16,Marstrand,6,Norwegian,Catholic,Fish,Hills,no,no,0,0
17,Oslo,8,Norwegian,Catholic,Fish,Forest,no,no,1,0
18,Arvidsjaur,3,Sapmi,Catholic,Unknown,Forest,no,no,0,0
19,Korsholm,3,Finnish,Catholic,Fur,Forest,no,no,0,0
20,Trondheim,8,Norwegian,Catholic,Fish,Mountain,yes,no,1,0
21,Steig,5,Norwegian,Catholic,Fish,Hills,no,no,0,0
22,Hamar,3,Norwegian,Catholic,Naval Supplies,Mountain,no,no,0,0
23,Bergen,7,Norwegian,Catholic,Naval Supplies,Highlands,no,no,2,0
24,Stavanger,6,Norwegian,Catholic,Fish,Highlands,no,no,0,0
25,Visby,10,Swedish,Catholic,Wool,Grassland,yes,no,1,1
26,Halmstad,8,Danish,Catholic,Livestock,Grassland,no,no,0,0
27,Abo,8,Swedish,Catholic,Grain,Grassland,yes,no,0,0
28,Borga,6,Finnish,Catholic,Naval Supplies,Grassland,no,no,0,0
29,Tavastehus,3,Finnish,Catholic,Fur,Forest,no,no,0,0
30,Viborg,6,Finnish,Catholic,Fur,Forest,yes,no,0,0
31,Olofsborg,3,Finnish,Catholic,Fur,Forest,no,no,0,0
32,Korela,5,Karelian,Orthodox,Fur,Forest,no,no,0,0
33,Oreshek,7,Karelian,Orthodox,Fur,Grassland,no,yes,1,1
