id,Province name,development,culture,religion,Trade Goods
1,Uppland,13,swedish,catholic,grain
2,Ostergotland,6,swedish,catholic,grain
3,Kalmar,5,swedish,catholic,naval_supplies
4,Bergslagen,7,swedish,catholic,iron
5,Varmland,3,swedish,catholic,iron
6,Skane,20,danish,catholic,grain
7,Skaraborg,6,swedish,catholic,grain
8,Dalaskogen,5,swedish,catholic,copper
9,Halsingland,5,swedish,catholic,fish
10,Jamtland,3,norwegian,catholic,fur
11,Vasterbotten,3,swedish,catholic,fur
12,Sjaelland,20,danish,catholic,fish
13,Slesvig,11,danish,catholic,livestock
14,Fyn,14,danish,catholic,fish
15,Jylland,5,danish,catholic,livestock
16,Bohuslan,6,norwegian,catholic,fish
17,Akershus,8,norwegian,catholic,fish
18,Lappland,3,sapmi,catholic,unknown
19,Osterbotten,3,finnish,catholic,fur
20,Trondelag,8,norwegian,catholic,fish
21,Halogaland,5,norwegian,catholic,fish
22,Eisdiva,3,norwegian,catholic,naval_supplies
23,Bergenshus,7,norwegian,catholic,naval_supplies
24,Agder,6,norwegian,catholic,fish
25,Gotland,10,swedish,catholic,wool
26,Halland,8,danish,catholic,livestock
27,Finland,8,swedish,catholic,grain
28,Nyland,6,finnish,catholic,naval_supplies
29,Tavastland,3,finnish,catholic,fur
30,Viborg,6,finnish,catholic,fur
31,Savolaks,3,finnish,catholic,fur
32,Keksholm,5,karelian,orthodox,fur
33,Neva,7,karelian,orthodox,fur
34,Ingermanland,7,novgorodian,orthodox,fur
35,Osel,3,estonian,catholic,grain
36,Estland,10,estonian,catholic,grain
37,Livland,8,latvian,catholic,livestock
38,Riga,11,baltic_german,catholic,naval_supplies
39,Kurland,7,latvian,catholic,naval_supplies
40,Memel,9,lithuanian,catholic,livestock
41,Konigsberg,13,prussian,catholic,gems
42,Warmia,8,prussian,catholic,naval_supplies
43,Danzig,16,prussian,catholic,gems
44,Hamburg,19,lower_saxon,catholic,fish
45,Lubeck,17,lower_saxon,catholic,naval_supplies
46,Rostock,10,pommeranian,catholic,naval_supplies
47,Stralsund,6,pommeranian,catholic,fish
48,Kolberg,6,pommeranian,catholic,fish
49,Neumark,6,saxon,catholic,livestock
50,Berlin,12,saxon,catholic,cloth
51,Ruppin,5,saxon,catholic,livestock
52,Magdeburg,10,saxon,catholic,cloth
53,Luneburg,8,lower_saxon,catholic,salt
54,Stade,6,lower_saxon,catholic,fish
55,Oldenburg,7,hannoverian,catholic,salt
56,Osnabruck,9,hannoverian,catholic,salt
57,Brunswick,9,lower_saxon,catholic,iron
58,Anhalt,6,saxon,catholic,wool
59,Wittenberg,10,saxon,catholic,wool
60,Lausitz,5,sorbian,catholic,cloth
61,Dresden,14,saxon,catholic,iron
62,Leipzig,10,saxon,catholic,wool
63,Erfurt,12,saxon,catholic,dyes
64,Landshut,12,bavarian,catholic,salt
65,Munchen,15,bavarian,catholic,grain
66,Bamberg,6,franconian,catholic,wine
67,Nurnberg,19,franconian,catholic,paper
68,Memmingen,13,swabian,catholic,cloth
69,Dortmund,12,hannoverian,catholic,cloth
70,Wurttemberg,11,swabian,catholic,grain
71,Ansbach,8,franconian,catholic,salt
72,Breisgau,11,swabian,catholic,glass
73,Tirol,9,austrian,catholic,gold
74,Baden,8,swabian,catholic,wine
75,Elsass,16,swabian,catholic,paper
76,Salzburg,14,bavarian,catholic,salt
77,Heidelberg,13,hessian,catholic,wine
78,Mainz,10,hessian,catholic,paper
79,Wurzburg,11,franconian,catholic,wine
